Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x10_MountingPin","PinHeader_1x10_P2.54mm_Vertical",172.845000,-67.070000,180.000000,bottom
"J2","Conn_01x08_MountingPin","PinHeader_1x08_P2.54mm_Vertical",172.845000,-93.994000,180.000000,bottom
"J3","Conn_01x08_MountingPin","PinHeader_1x08_P2.54mm_Vertical",124.500000,-76.214000,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_3001_1x12mm",133.900000,-108.000000,0.000000,top
"C1","10uF","C_0805_2012Metric",153.537500,-93.422500,180.000000,top
"C2","10uF","C_0805_2012Metric",147.637500,-93.422500,180.000000,top
"C3","0.1uF","C_0805_2012Metric",142.137500,-93.422500,180.000000,top
"D1","D_Schottky_Dual_CommonCathode_KAA","SOT-23",133.062500,-94.000000,90.000000,top
"J4","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Vertical",158.000000,-102.500000,0.000000,top
"Q1","BSS138","SOT-23",143.087500,-88.460000,-90.000000,top
"Q2","BSS138","SOT-23",156.525000,-82.910000,0.000000,top
"R1","100k","R_0805_2012Metric",155.587500,-77.460000,180.000000,top
"R2","100k","R_0805_2012Metric",155.587500,-73.960000,180.000000,top
"R3","1k","R_0805_2012Metric",163.000000,-107.000000,0.000000,top
"R4","1k","R_0805_2012Metric",163.000000,-110.000000,0.000000,top
"R5","1k","R_0805_2012Metric",163.000000,-102.000000,180.000000,top
"R7","4.7k","R_0805_2012Metric",155.587500,-70.547500,180.000000,top
"R8","4.7k","R_0805_2012Metric",150.000000,-70.460000,0.000000,top
"R9","10k","R_0805_2012Metric",152.087500,-82.872500,-90.000000,top
"R10","10k","R_0805_2012Metric",143.442500,-83.747500,0.000000,top
"R11","10k","R_0805_2012Metric",151.412500,-88.000000,0.000000,top
"R12","10k","R_0805_2012Metric",157.000000,-88.412500,-90.000000,top
"R13","100k","R_0805_2012Metric",145.587500,-74.500000,180.000000,top
"U1","RV-8803-C7-TA-QC","IC_RV-8803-C7-TA-QC",151.512500,-74.010000,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",147.362500,-98.950000,180.000000,top
"U3","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",147.587500,-82.922500,0.000000,top
